properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "light_world",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 336,
  height = 240,
  pattern = "grass.soil",
}

tile{
  layer = 0,
  x = 0,
  y = -8,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 0,
  y = 24,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 0,
  y = 56,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 0,
  y = 88,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 0,
  y = 120,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 0,
  y = 152,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

tile{
  layer = 0,
  x = 176,
  y = 72,
  width = 8,
  height = 16,
  pattern = "house.wall_dark.corner.1",
}

tile{
  layer = 0,
  x = 184,
  y = 72,
  width = 24,
  height = 16,
  pattern = "house.wall_dark.window",
}

tile{
  layer = 0,
  x = 240,
  y = 72,
  width = 24,
  height = 16,
  pattern = "house.wall_dark.window",
}

tile{
  layer = 0,
  x = 264,
  y = 72,
  width = 8,
  height = 16,
  pattern = "house.wall_dark.corner.2",
}

tile{
  layer = 0,
  x = 208,
  y = 88,
  width = 32,
  height = 8,
  pattern = "house.entrance_dark.border.1",
}

tile{
  layer = 0,
  x = 232,
  y = 72,
  width = 8,
  height = 16,
  pattern = "house.entrance_dark.border.3",
}

tile{
  layer = 0,
  x = 208,
  y = 72,
  width = 8,
  height = 16,
  pattern = "house.entrance_dark.border.2",
}

tile{
  layer = 0,
  x = 216,
  y = 72,
  width = 16,
  height = 16,
  pattern = "house.entrance_dark",
}

tile{
  layer = 0,
  x = 216,
  y = 88,
  width = 16,
  height = 8,
  pattern = "house.slab_dark",
}

tile{
  layer = 0,
  x = 208,
  y = 96,
  width = 32,
  height = 8,
  pattern = "house.slab_dark",
}

tile{
  layer = 0,
  x = 72,
  y = 176,
  width = 48,
  height = 16,
  pattern = "grass.tree.roots.1",
}

tile{
  layer = 0,
  x = 72,
  y = 192,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 64,
  y = 168,
  width = 8,
  height = 16,
  pattern = "grass.tree.roots.3",
}

tile{
  layer = 0,
  x = 120,
  y = 168,
  width = 8,
  height = 16,
  pattern = "grass.tree.roots.4",
}

tile{
  layer = 0,
  x = 104,
  y = 160,
  width = 16,
  height = 32,
  pattern = "house_tree.3",
}

tile{
  layer = 0,
  x = 72,
  y = 160,
  width = 16,
  height = 32,
  pattern = "house_tree.1",
}

tile{
  layer = 0,
  x = 88,
  y = 160,
  width = 16,
  height = 16,
  pattern = "house.entrance",
}

tile{
  layer = 0,
  x = 88,
  y = 176,
  width = 16,
  height = 16,
  pattern = "house_tree.steps",
}

tile{
  layer = 0,
  x = 80,
  y = 192,
  width = 32,
  height = 8,
  pattern = "house_tree.steps.bottom",
}

tile{
  layer = 0,
  x = 304,
  y = 0,
  width = 16,
  height = 24,
  pattern = "shrub",
}

tile{
  layer = 0,
  x = 0,
  y = 216,
  width = 336,
  height = 8,
  pattern = "grass.cliff.2",
}

tile{
  layer = 0,
  x = 0,
  y = 224,
  width = 336,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 0,
  y = 232,
  width = 336,
  height = 8,
  pattern = "cliff.top.2",
}

tile{
  layer = 0,
  x = 0,
  y = 240,
  width = 336,
  height = 8,
  pattern = "grass.cliff.top.2",
}

tile{
  layer = 0,
  x = 0,
  y = 208,
  width = 336,
  height = 8,
  pattern = "grass.shadow.4",
}

tile{
  layer = 0,
  x = 0,
  y = 184,
  width = 32,
  height = 32,
  pattern = "grass.stump",
}

wall{
  layer = 0,
  x = 176,
  y = 24,
  width = 96,
  height = 48,
  stops_hero = true,
  stops_npcs = true,
  stops_enemies = true,
  stops_blocks = true,
  stops_projectiles = true,
}

wall{
  layer = 0,
  x = 72,
  y = 112,
  width = 48,
  height = 48,
  stops_hero = true,
  stops_npcs = true,
  stops_enemies = true,
  stops_blocks = true,
  stops_projectiles = true,
}

teletransporter{
  name = "to_waste_center",
  layer = 0,
  x = 320,
  y = 16,
  width = 16,
  height = 192,
  transition = "scrolling",
  destination_map = "lga/waste_center",
  destination = "_side",
}

teletransporter{
  name = "to_power_plant",
  layer = 0,
  x = 32,
  y = -16,
  width = 288,
  height = 16,
  transition = "scrolling",
  destination_map = "lga/village_main",
  destination = "_side",
}

pickable{
  layer = 0,
  x = 88,
  y = 45,
}

pickable{
  layer = 0,
  x = 168,
  y = 173,
}

pickable{
  layer = 0,
  x = 280,
  y = 141,
}

tile{
  layer = 1,
  x = 176,
  y = 64,
  width = 8,
  height = 8,
  pattern = "house.roof_wood_dark.corner.3",
}

tile{
  layer = 1,
  x = 264,
  y = 64,
  width = 8,
  height = 8,
  pattern = "house.roof_wood_dark.corner.4",
}

tile{
  layer = 1,
  x = 176,
  y = 24,
  width = 8,
  height = 8,
  pattern = "house.roof_wood_dark.corner.1",
}

tile{
  layer = 1,
  x = 176,
  y = 32,
  width = 8,
  height = 32,
  pattern = "house.roof_wood_dark.3",
}

tile{
  layer = 1,
  x = 264,
  y = 32,
  width = 8,
  height = 24,
  pattern = "house.roof_wood_dark.4",
}

tile{
  layer = 1,
  x = 264,
  y = 24,
  width = 8,
  height = 8,
  pattern = "house.roof_wood_dark.corner.2",
}

tile{
  layer = 1,
  x = 264,
  y = 56,
  width = 8,
  height = 8,
  pattern = "house.roof_wood_dark.corner.4",
}

tile{
  layer = 1,
  x = 184,
  y = 24,
  width = 80,
  height = 8,
  pattern = "house.roof_wood_dark.1",
}

tile{
  layer = 1,
  x = 184,
  y = 32,
  width = 80,
  height = 32,
  pattern = "house.roof_wood_dark",
}

tile{
  layer = 1,
  x = 184,
  y = 64,
  width = 80,
  height = 8,
  pattern = "house.roof_wood_dark.2",
}

tile{
  layer = 1,
  x = 208,
  y = 56,
